key,state,action,q_value
1,0,0,0.0
1,0,1,0.0
1,0,2,12.063699633935691
1,0,3,0.0
1,1,0,0.0
1,1,1,0.0
1,1,2,0.0
1,1,3,0.0
1,2,0,0.0
1,2,1,0.0
1,2,2,0.0
1,2,3,0.0
1,3,0,-0.19
1,3,1,-0.19
1,3,2,-0.05596041073792003
1,3,3,0.0
1,4,0,-0.19
1,4,1,-0.20230434802816002
1,4,2,-0.06840253577344
1,4,3,-0.03609999999999999
1,5,0,-0.19
1,5,1,10.49817046675691
1,5,2,-0.19
1,5,3,-0.184585
1,6,0,-0.76
1,6,1,10.111081775647026
1,6,2,-0.95
1,6,3,-0.316305367936
1,7,0,-0.76
1,7,1,9.694100003567957
1,7,2,0.0
1,7,3,-0.155344
1,8,0,0.0
1,8,1,9.345355848726784
1,8,2,0.0
1,8,3,-0.19
1,9,0,0.0
1,9,1,0.0
1,9,2,9.116633562491604
1,9,3,0.0
1,10,0,-0.76
1,10,1,0.0
1,10,2,-0.0014440000000000008
1,10,3,4.259577091821272
1,11,0,-0.76
1,11,1,-0.19
1,11,2,-0.19716809321882992
1,11,3,1.2838893235983975
1,12,0,-0.76
1,12,1,-0.378556
1,12,2,-0.503428342336
1,12,3,-0.04986206070425764
1,13,0,-0.19
1,13,1,-0.21206153273344
1,13,2,-0.19
1,13,3,-0.043728027510885725
1,14,0,-0.9485560000000002
1,14,1,-0.34283658064
1,14,2,-0.287970622336
1,14,3,0.2164928928183128
1,15,0,-0.9485560000000002
1,15,1,-0.95
1,15,2,-0.4917393798210279
1,15,3,-0.11000853972985808
1,16,0,0.0
1,16,1,0.0
1,16,2,0.0
1,16,3,0.0
1,17,0,-1.6970478976
1,17,1,-1.5188883621398406
1,17,2,-1.4406124018802415
1,17,3,-1.7195
1,18,0,-1.5013373276066815
1,18,1,-1.4801767633819578
1,18,2,-1.5089619989708014
1,18,3,-1.4628896743157749
1,19,0,-0.19
1,19,1,11.900699303409278
1,19,2,-0.0014440000000000008
1,19,3,-0.19
1,20,0,0.0
1,20,1,11.7228424979905
1,20,2,0.0
1,20,3,0.0
1,21,0,0.0
1,21,1,11.527397660845486
1,21,2,0.0
1,21,3,-0.19
1,22,0,0.0
1,22,1,11.313965402288256
1,22,2,0.0
1,22,3,0.0
1,23,0,0.0
1,23,1,11.080551664229988
1,23,2,0.0
1,23,3,-0.19
1,24,0,10.816280025790057
1,24,1,0.0
1,24,2,-0.95
1,24,3,0.0
1,25,0,0.0
1,25,1,0.0
1,25,2,0.0
1,25,3,0.0
1,26,0,0.7088473249743262
1,26,1,0.0
1,26,2,0.0
