key,state,action,q_value
1,0,0,60.20597143645527
1,0,1,61.94204567236488
1,0,2,63.379327891080834
1,0,3,60.24673480025305
1,1,0,58.55266053283504
1,1,1,62.24854006533291
1,1,2,63.43729610942451
1,1,3,60.36287353774505
1,2,0,58.14756627556383
1,2,1,56.83338483756023
1,2,2,64.10368726142416
1,2,3,60.95709745093541
1,3,0,54.33305179223884
1,3,1,54.112306306431634
1,3,2,-4.999999999999998
1,3,3,58.511782405564034
1,4,0,37.6550378181134
1,4,1,38.87901073761446
1,4,2,58.652044354892524
1,4,3,54.22020390897442
1,5,0,28.45418623087982
1,5,1,13.771454710461455
1,5,2,30.883611454896318
1,5,3,53.775528679355325
1,6,0,6.102302836304425
1,6,1,4.487294933935544
1,6,2,10.922712650534086
1,6,3,36.7996656885109
1,7,0,-0.4133731028688191
1,7,1,2.675444937764907
1,7,2,5.190700649204125
1,7,3,2.1586033552085215
1,8,0,-1.2485137800204327
1,8,1,0.1468973403426459
1,8,2,5.069984543173917
1,8,3,1.9475565942204671
1,9,0,61.23045396479272
1,9,1,64.47123237380072
1,9,2,65.8497104095751
1,9,3,60.606343675391756
1,10,0,62.22749817910207
1,10,1,65.93138148323042
1,10,2,65.91272545759031
1,10,3,62.75409048623853
1,11,0,63.13412293865458
1,11,1,-4.999999999999998
1,11,2,67.64708198783067
1,11,3,63.7487631228574
1,12,0,0.0
1,12,1,0.0
1,12,2,0.0
1,12,3,0.0
1,13,0,46.282706942461466
1,13,1,49.88920720000063
1,13,2,66.20578887843435
1,13,3,-4.999999999935629
1,14,0,45.25130572974296
1,14,1,12.940439598991018
1,14,2,64.96774443573035
1,14,3,26.367942201957856
1,15,0,22.88870055889118
1,15,1,4.962631441038645
1,15,2,15.611583730450498
1,15,3,16.83813665418912
1,16,0,3.317018700913983
1,16,1,6.576046519543574
1,16,2,9.452132608148121
1,16,3,5.101132124645974
1,17,0,2.079249693332326
1,17,1,2.7171588967846976
1,17,2,10.05202024857012
1,17,3,4.615112021744332
1,18,0,63.564839348702584
1,18,1,66.77713232350366
1,18,2,67.46558228901668
1,18,3,61.28537346216906
1,19,0,64.84560407216233
1,19,1,67.78224670175838
1,19,2,69.12794897926821
1,19,3,64.67001832615647
1,20,0,66.11268481811474
1,20,1,68.66590858498441
1,20,2,69.51158512219153
1,20,3,66.44490215408847
1,21,0,-4.999999999999998
1,21,1,69.08920101360722
1,21,2,-4.999999999999998
1,21,3,67.00674791701773
1,22,0,63.75833120299835
1,22,1,70.49465006958532
1,22,2,72.2452422062305
1,22,3,68.2460335412212
1,23,0,57.647361844451396
1,23,1,52.88995618967435
1,23,2,72.2529430526433
1,23,3,69.54126865125816
1,24,0,12.677594835865808
1,24,1,19.046168286636203
1,24,2,-4.999867193005562
1,24,3,62.52820256488403
1,25,0,5.965275034097987
1,25,1,6.161649458528613
1,25,2,-4.998907627497358
1,25,3,30.49216148654098
1,26,0,6.5272717614414795
1,26,1,2.0127457596057243
1,26,2,23.47413799596934
1,26,3,2.8662576308368695
1,27,0,64.5771368740606
1,27,1,69.02647357596675
1,27,2,-4.999999999999998
1,27,3,62.63383752080807
1,28,0,67.16445951992281
1,28,1,70.64668805370066
1,28,2,69.52798824455579
1,28,3,67.39662547129377
1,29,0,68.61610194399816
1,29,1,-4.999999999999998
1,29,2,72.65275061066038
1,29,3,69.25269598095915
1,30,0,0.0
1,30,1,0.0
1,30,2,0.0
1,30,3,0.0
1,31,0,71.99805180646361
1,31,1,74.56861831993729
1,31,2,74.85761879544673
1,31,3,-4.999999996472461
1,32,0,71.28688328152464
1,32,1,-4.999999999994865
1,32,2,76.71101238766062
1,32,3,73.62291417152478
1,33,0,0.0
1,33,1,0.0
1,33,2,0.0
1,33,3,0.0
1,34,0,0.0
1,34,1,0.0
1,34,2,0.0
1,34,3,0.0
1,35,0,2.1611569302765434
1,35,1,1.499411312439917
1,35,2,53.83118132483925
1,35,3,-4.887358002275304
1,36,0,0.0
1,36,1,0.0
1,36,2,0.0
1,36,3,0.0
1,37,0,67.86569313200967
1,37,1,71.54996367787038
1,37,2,67.52454519333072
1,37,3,-4.999999999999998
1,38,0,70.54708229475526
1,38,1,75.57486598527662
1,38,2,73.14638200158043
1,38,3,69.39426409583949
1,39,0,-4.999999999999998
1,39,1,77.71950172502731
1,39,2,-4.999999999999998
1,39,3,73.19205446845469
1,40,0,73.91568020527862
1,40,1,79.83103606307564
1,40,2,79.51456204702045
1,40,3,75.04691755022402
1,41,0,74.97980939963765
1,41,1,80.81754984073423
1,41,2,82.15981087136386
1,41,3,77.75592747466963
1,42,0,-4.999999970985058
1,42,1,83.20711905366356
1,42,2,82.47391472408013
1,42,3,78.65161438171212
1,43,0,-4.998335051817342
1,43,1,74.51209330928911
1,43,2,85.76357826596949
1,43,3,81.01677362793761
1,44,0,21.4389641393322
1,44,1,50.33048404457714
1,44,2,65.59374481256158
1,44,3,80.2818882773168
1,45,0,-4.979127210410354
1,45,1,57.64326249073481
1,45,2,-4.997462356069718
1,45,3,37.14104292756407
1,46,0,65.03253165376778
1,46,1,71.43503433139055
1,46,2,-4.999999999718621
1,46,3,54.023187958453384
1,47,0,68.08591486677187
1,47,1,-4.999999999999993
1,47,2,75.54203820069375
1,47,3,65.62682918042007
1,48,0,0.0
1,48,1,0.0
1,48,2,0.0
1,48,3,0.0
1,49,0,77.42737081026849
1,49,1,79.4041337259849
1,49,2,-4.9999997053635346
1,49,3,-4.999999964179084
1,50,0,80.14569098881783
1,50,1,84.78654202109797
1,50,2,-4.999999999652618
1,50,3,79.43445747874826
1,51,0,80.8743209690209
1,51,1,87.71095027755462
1,51,2,87.16683842014277
1,51,3,82.94827815019151
1,52,0,83.67341876328312
1,52,1,78.58649688249213
1,52,2,90.44592545318729
1,52,3,84.88153391788899
1,53,0,64.83809247795588
1,53,1,61.96649571808031
1,53,2,-4.601167784615638
1,53,3,81.12240835233573
1,54,0,0.0
1,54,1,0.0
1,54,2,0.0
1,54,3,0.0
1,55,0,0.0
1,55,1,0.0
1,55,2,0.0
1,55,3,0.0
1,56,0,61.0632208447911
1,56,1,77.86418667787085
1,56,2,60.47891640976292
1,56,3,-4.9996191132597705
1,57,0,-4.960724163943605
1,57,1,-4.960724163943605
1,57,2,80.44906265891764
1,57,3,52.96278485488125
1,58,0,0.0
1,58,1,0.0
1,58,2,0.0
1,58,3,0.0
1,59,0,0.0
1,59,1,0.0
1,59,2,0.0
1,59,3,0.0
1,60,0,85.15708349308977
1,60,1,89.15317280394795
1,60,2,89.46087941026543
1,60,3,-4.999999315542604
1,61,0,87.9982334962175
1,61,1,-4.999998712072657
1,61,2,93.96298963514721
1,61,3,86.97356282680428
1,62,0,0.0
1,62,1,0.0
1,62,2,0.0
1,62,3,0.0
1,63,0,0.0
1,63,1,0.0
1,63,2,0.0
1,63,3,0.0
1,64,0,-3.2566077995000002
1,64,1,32.64836604025313
1,64,2,-1.7195
1,64,3,-2.342795
1,65,0,48.66463556748596
1,65,1,74.89323987834672
1,65,2,29.806550443941155
1,65,3,24.101829481247112
1,66,0,69.62947860029665
1,66,1,64.08844046188753
1,66,2,83.77780503776982
1,66,3,65.62104219470902
1,67,0,-4.828315808985374
1,67,1,82.40357090537816
1,67,2,63.34470218770152
1,67,3,35.03280740135541
1,68,0,-4.960724163943605
1,68,1,80.54704663094127
1,68,2,88.39175266336038
1,68,3,75.36274323710154
1,69,0,87.79471936381921
1,69,1,90.53696939043134
1,69,2,92.34185680230539
1,69,3,85.00582115414095
1,70,0,90.8313668013418
1,70,1,96.98216473324605
1,70,2,94.63208371030058
1,70,3,89.64454107886796
1,71,0,-4.9742311239634
1,71,1,91.46807458944559
1,71,2,99.99999989246946
1,71,3,91.06597482504343
1,72,0,0.0
1,72,1,0.0
1,72,2,0.0
1,72,3,0.0
1,73,0,0.0
1,73,1,0.0
1,73,2,0.0
1,73,3,0.0
1,74,0,25.346389510258387
1,74,1,63.95261570125655
1,74,2,25.133862365139688
1,74,3,-4.908759981842996
1,75,0,78.20373212361281
1,75,1,86.60140890435771
1,75,2,64.89931880433971
1,75,3,45.07764482265627
1,76,0,69.85755603066667
1,76,1,89.68181346909255
1,76,2,76.48415356385834
1,76,3,76.2969033652059
1,77,0,83.77651177089419
1,77,1,92.76447643592374
1,77,2,86.32500673694621
1,77,3,85.19088247345977
1,78,0,89.30423672111162
1,78,1,96.69605775355598
1,78,2,89.78169753565712
1,78,3,90.34881406920688
1,79,0,93.51397567580273
1,79,1,99.99999999999997
1,79,2,93.0240207721719
1,79,3,93.83392496952688
1,80,0,0.0
1,80,1,0.0
1,80,2,0.0
1,80,3,0.0
