episode,step,done,state,action,next_state,reward
0,0,False,0,1,1,0
0,1,False,1,1,2,0
0,2,False,2,0,2,0
0,3,False,2,0,2,0
0,4,True,2,2,6,-1
1,0,False,0,3,0,0
1,1,True,0,2,4,-1
2,0,False,0,3,0,0
2,1,False,0,3,0,0
2,2,False,0,0,0,0
2,3,True,0,2,4,-1
3,0,False,0,3,0,0
3,1,False,0,0,0,0
3,2,False,0,1,1,0
3,3,False,1,1,2,0
3,4,False,2,1,3,0
3,5,True,3,1,4,-1
4,0,True,0,2,4,-1
5,0,False,0,1,1,0
5,1,False,1,2,5,0
5,2,True,5,3,4,-1
6,0,False,0,0,0,0
6,1,True,0,2,4,-1
7,0,False,0,3,0,0
7,1,False,0,1,1,0
7,2,False,1,1,2,0
7,3,False,2,0,2,0
7,4,True,2,2,6,-1
8,0,True,0,2,4,-1
9,0,False,0,3,0,0
9,1,True,0,2,4,-1
10,0,False,0,0,0,0
10,1,False,0,3,0,0
10,2,True,0,2,4,-1
11,0,False,0,0,0,0
11,1,False,0,1,1,0
11,2,False,1,0,1,0
11,3,False,1,0,1,0
11,4,False,1,0,1,0
11,5,False,1,2,5,0
11,6,False,5,2,9,0
11,7,True,9,2,13,-1
12,0,False,0,1,1,0
12,1,False,1,2,5,0
12,2,True,5,1,6,-1
13,0,False,0,0,0,0
13,1,False,0,1,1,0
13,2,False,1,1,2,0
13,3,False,2,1,3,0
13,4,False,3,0,3,0
13,5,False,3,2,7,0
13,6,True,7,2,11,-1
14,0,False,0,1,1,0
14,1,False,1,1,2,0
14,2,False,2,0,2,0
14,3,False,2,3,1,0
14,4,False,1,1,2,0
14,5,False,2,3,1,0
14,6,False,1,1,2,0
14,7,False,2,3,1,0
14,8,False,1,2,5,0
14,9,False,5,0,1,0
14,10,False,1,3,0,0
14,11,False,0,3,0,0
14,12,False,0,0,0,0
14,13,False,0,1,1,0
14,14,False,1,0,1,0
14,15,False,1,1,2,0
14,16,False,2,0,2,0
14,17,False,2,0,2,0
14,18,False,2,1,3,0
14,19,True,3,1,4,-1
15,0,False,0,0,0,0
15,1,False,0,0,0,0
15,2,True,0,2,4,-1
16,0,False,0,1,1,0
16,1,False,1,2,5,0
16,2,True,5,3,4,-1
17,0,False,0,3,0,0
17,1,False,0,1,1,0
17,2,False,1,1,2,0
17,3,False,2,3,1,0
17,4,False,1,2,5,0
17,5,False,5,0,1,0
17,6,False,1,1,2,0
17,7,False,2,1,3,0
17,8,False,3,2,7,0
17,9,False,7,0,3,0
17,10,True,3,1,4,-1
18,0,False,0,1,1,0
18,1,False,1,1,2,0
18,2,True,2,2,6,-1
19,0,False,0,3,0,0
19,1,False,0,0,0,0
19,2,True,0,2,4,-1
20,0,True,0,2,4,-1
21,0,False,0,1,1,0
21,1,False,1,0,1,0
21,2,False,1,1,2,0
21,3,True,2,2,6,-1
22,0,False,0,1,1,0
22,1,False,1,3,0,0
22,2,False,0,1,1,0
22,3,False,1,2,5,0
22,4,True,5,3,4,-1
23,0,True,0,2,4,-1
24,0,False,0,1,1,0
24,1,False,1,0,1,0
24,2,False,1,1,2,0
24,3,False,2,0,2,0
24,4,False,2,0,2,0
24,5,False,2,3,1,0
24,6,False,1,3,0,0
24,7,False,0,1,1,0
24,8,False,1,0,1,0
24,9,False,1,2,5,0
24,10,True,5,1,6,-1
25,0,False,0,0,0,0
25,1,False,0,0,0,0
25,2,False,0,1,1,0
25,3,False,1,2,5,0
25,4,False,5,2,9,0
25,5,True,9,2,13,-1
26,0,True,0,2,4,-1
27,0,False,0,1,1,0
