game,step,done,state,action,next_state,reward
0,0,False,0,0,0,-1
0,1,False,0,0,0,-1
0,2,False,0,0,0,-1
0,3,False,0,2,10,1
0,4,False,10,0,10,-1
0,5,False,10,3,10,-1
0,6,False,10,3,10,-1
0,7,False,10,2,20,1
0,8,False,20,0,20,-1
0,9,False,20,0,10,-1
0,10,False,10,3,10,-1
0,11,False,10,0,0,-1
0,12,False,0,0,0,-1
0,13,False,0,1,1,1
0,14,False,1,0,1,-4
0,15,False,1,0,1,-1
0,16,False,1,2,11,1
0,17,False,11,2,21,1
0,18,False,21,0,21,-1
0,19,False,21,1,22,1
0,20,False,22,2,32,1
0,21,True,32,3,31,-5
1,0,False,0,3,0,-1
1,1,False,0,1,1,1
1,2,False,1,2,11,1
1,3,False,11,2,21,1
1,4,False,21,0,21,-1
1,5,False,21,1,22,1
1,6,True,22,1,23,-5
2,0,False,0,1,1,1
2,1,False,1,1,2,1
2,2,False,2,1,3,1
2,3,False,3,2,13,1
2,4,False,13,1,14,1
2,5,False,14,1,15,1
2,6,False,15,1,16,1
2,7,False,16,3,16,-1
2,8,False,16,2,26,1
2,9,False,26,3,25,1
2,10,False,25,2,35,1
2,11,False,35,2,45,1
2,12,False,45,0,45,-1
2,13,False,45,0,35,-1
2,14,False,35,1,36,1
2,15,False,36,0,26,-1
2,16,False,26,0,16,-1
2,17,False,16,1,17,1
2,18,False,17,1,18,1
2,19,False,18,3,18,-1
2,20,False,18,3,17,-1
2,21,False,17,3,16,-1
2,22,False,16,2,26,-1
2,23,False,26,0,26,-1
2,24,False,26,0,16,-1
2,25,False,16,2,16,-1
2,26,False,16,0,6,1
2,27,False,6,0,6,-4
2,28,False,6,3,5,1
2,29,True,5,3,4,-5
3,0,False,0,0,0,-1
3,1,False,0,3,0,-1
3,2,False,0,0,0,-1
3,3,False,0,0,0,-1
3,4,False,0,2,10,1
3,5,False,10,1,11,1
3,6,False,11,2,21,1
3,7,False,21,3,20,1
3,8,False,20,0,10,-1
3,9,False,10,3,10,-1
3,10,False,10,0,0,-1
3,11,False,0,1,1,1
3,12,False,1,3,1,-1
3,13,False,1,3,0,-1
3,14,False,0,0,0,-1
3,15,False,0,0,0,-1
3,16,False,0,1,1,-1
3,17,False,1,1,2,1
3,18,False,2,3,2,-1
3,19,False,2,3,1,-1
3,20,False,1,3,0,-1
3,21,False,0,1,0,-1
3,22,False,0,0,0,-1
3,23,False,0,0,0,-1
3,24,False,0,1,1,-1
3,25,False,1,3,1,-1
3,26,False,1,2,11,-1
3,27,False,11,1,12,1
3,28,False,12,3,12,-1
3,29,False,12,0,2,-1
3,30,False,2,2,2,-1
3,31,False,2,3,1,-1
3,32,False,1,3,0,-1
3,33,False,0,3,0,-1
3,34,False,0,0,0,-1
3,35,False,0,2,10,-1
3,36,False,10,1,11,-1
3,37,False,11,0,1,-1
3,38,False,1,0,1,-1
3,39,False,1,1,2,-1
3,40,False,2,1,3,1
3,41,False,3,3,3,-1
3,42,True,3,1,4,-5
4,0,False,0,0,0,-1
4,1,False,0,3,0,-1
4,2,False,0,0,0,-1
4,3,False,0,2,10,1
4,4,False,10,0,10,-1
4,5,False,10,3,10,-1
4,6,False,10,3,10,-1
4,7,False,10,3,10,-1
4,8,False,10,2,20,1
4,9,False,20,2,30,1
4,10,False,30,0,30,-1
4,11,True,30,2,40,-5
5,0,False,0,1,1,1
5,1,False,1,3,1,-1
5,2,False,1,1,2,1
5,3,False,2,2,12,1
5,4,False,12,0,12,-1
5,5,False,12,3,11,1
5,6,False,11,1,11,-1
5,7,False,11,1,12,-1
5,8,False,12,2,22,1
5,9,False,22,3,21,1
5,10,False,21,0,11,-1
5,11,False,11,0,1,-1
5,12,False,1,3,0,-1
5,13,False,0,1,0,-1
5,14,False,0,1,1,-1
5,15,False,1,0,1,-1
5,16,False,1,0,1,-1
5,17,False,1,3,0,-1
5,18,False,0,3,0,-1
5,19,False,0,3,0,-1
5,20,False,0,3,0,-1
5,21,False,0,0,0,-1
5,22,False,0,2,10,1
5,23,False,10,3,10,-4
5,24,False,10,2,20,1
5,25,False,20,2,30,1
5,26,False,30,0,30,-1
5,27,True,30,1,31,-5
6,0,False,0,2,10,1
6,1,False,10,3,10,-4
6,2,False,10,1,11,1
6,3,False,11,3,11,-1
6,4,False,11,3,10,-1
6,5,False,10,2,20,1
6,6,False,20,2,30,1
6,7,True,30,1,31,-5
7,0,False,0,0,0,-1
7,1,False,0,0,0,-1
7,2,False,0,1,1,1
7,3,False,1,0,1,-4
7,4,False,1,2,11,1
7,5,False,11,3,10,1
7,6,False,10,2,20,1
7,7,False,20,1,21,1
7,8,True,21,2,31,-5
8,0,False,0,2,10,1
8,1,False,10,2,20,1
8,2,False,20,2,30,1
8,3,False,30,3,30,-4
8,4,True,30,2,40,-5
9,0,False,0,2,10,1
9,1,False,10,0,10,-1
9,2,False,10,3,10,-1
9,3,False,10,2,20,1
9,4,False,20,1,21,1
9,5,True,21,2,31,-5
10,0,False,0,0,0,-1
10,1,False,0,2,10,1
10,2,False,10,0,10,-1
10,3,False,10,1,11,1
10,4,False,11,2,21,1
10,5,True,21,2,31,-5
11,0,False,0,0,0,-1
