game,step,done,state,action,next_state,reward
0,0,True,0,2,4,-1
1,0,True,0,2,4,-1
2,0,False,0,3,0,0
2,1,False,0,0,0,0
2,2,False,0,1,1,0
2,3,False,1,3,0,0
2,4,False,0,3,0,0
2,5,False,0,3,0,0
2,6,False,0,1,1,0
2,7,False,1,2,5,0
2,8,True,5,1,6,-1
3,0,False,0,3,0,0
3,1,False,0,0,0,0
3,2,False,0,3,0,0
3,3,False,0,1,1,0
3,4,False,1,0,1,0
3,5,False,1,3,0,0
3,6,False,0,3,0,0
3,7,True,0,2,4,-1
4,0,False,0,3,0,0
4,1,False,0,0,0,0
4,2,False,0,1,1,0
4,3,False,1,2,5,0
4,4,True,5,3,4,-1
5,0,False,0,3,0,0
5,1,False,0,0,0,0
5,2,False,0,3,0,0
5,3,False,0,0,0,0
5,4,False,0,0,0,0
5,5,True,0,2,4,-1
6,0,True,0,2,4,-1
7,0,True,0,2,4,-1
8,0,False,0,3,0,0
8,1,False,0,0,0,0
8,2,False,0,3,0,0
8,3,False,0,0,0,0
8,4,False,0,1,1,0
8,5,False,1,0,1,0
8,6,False,1,2,5,0
8,7,False,5,2,9,0
8,8,False,9,3,8,0
8,9,False,8,2,12,0
8,10,False,12,0,8,0
8,11,False,8,1,9,0
8,12,True,9,2,13,-1
9,0,False,0,1,1,0
9,1,False,1,0,1,0
9,2,False,1,1,2,0
9,3,False,2,3,1,0
9,4,False,1,3,0,0
9,5,False,0,1,1,0
9,6,False,1,3,0,0
9,7,False,0,3,0,0
9,8,True,0,2,4,-1
10,0,True,0,2,4,-1
11,0,True,0,2,4,-1
12,0,True,0,2,4,-1
13,0,True,0,2,4,-1
14,0,False,0,3,0,0
14,1,False,0,0,0,0
14,2,False,0,0,0,0
14,3,False,0,3,0,0
14,4,False,0,0,0,0
14,5,False,0,1,1,0
14,6,False,1,2,5,0
14,7,True,5,1,6,-1
15,0,False,0,0,0,0
15,1,True,0,2,4,-1
16,0,False,0,3,0,0
16,1,True,0,2,4,-1
17,0,False,0,1,1,0
17,1,False,1,2,5,0
17,2,False,5,2,9,0
17,3,False,9,1,10,0
17,4,False,10,3,9,0
17,5,False,9,3,8,0
17,6,False,8,2,12,0
17,7,True,12,1,13,-1
18,0,True,0,2,4,-1
19,0,False,0,0,0,0
19,1,True,0,2,4,-1
20,0,True,0,2,4,-1
21,0,False,0,3,0,0
21,1,False,0,0,0,0
21,2,True,0,2,4,-1
22,0,False,0,3,0,0
22,1,False,0,0,0,0
22,2,False,0,1,1,0
22,3,False,1,2,5,0
22,4,True,5,1,6,-1
23,0,False,0,1,1,0
23,1,False,1,3,0,0
23,2,True,0,2,4,-1
24,0,True,0,2,4,-1
25,0,False,0,3,0,0
25,1,False,0,3,0,0
25,2,False,0,0,0,0
25,3,False,0,0,0,0
25,4,True,0,2,4,-1
26,0,False,0,3,0,0
26,1,False,0,0,0,0
26,2,False,0,3,0,0
26,3,False,0,1,1,0
26,4,False,1,2,5,0
26,5,False,5,0,1,0
26,6,False,1,0,1,0
26,7,False,1,0,1,0
26,8,False,1,1,2,0
26,9,True,2,2,6,-1
27,0,False,0,0,0,0
27,1,False,0,1,1,0
27,2,False,1,3,0,0
27,3,True,0,2,4,-1
28,0,True,0,2,4,-1
29,0,False,0,3,0,0
29,1,True,0,2,4,-1
30,0,False,0,0,0,0
30,1,False,0,1,1,0
30,2,False,1,2,5,0
30,3,False,5,2,9,0
30,4,False,9,1,10,0
30,5,False,10,2,14,0
30,6,False,14,2,14,0
30,7,False,14,2,14,0
30,8,True,14,1,15,100
31,0,False,0,3,0,0
31,1,False,0,1,1,0
31,2,False,1,2,5,0
31,3,False,5,0,1,0
31,4,False,1,1,2,0
31,5,True,2,2,6,-1
32,0,False,0,0,0,0
32,1,False,0,1,1,0
32,2,False,1,1,2,0
32,3,False,2,3,1,0
32,4,False,1,2,5,0
32,5,True,5,3,4,-1
33,0,True,0,2,4,-1
34,0,False,0,0,0,0
34,1,False,0,1,1,0
34,2,False,1,1,2,0
34,3,False,2,0,2,0
34,4,True,2,2,6,-1
35,0,False,0,1,1,0
35,1,False,1,2,5,0
35,2,False,5,0,1,0
35,3,False,1,2,5,0
35,4,False,5,0,1,0
35,5,False,1,0,1,0
35,6,False,1,3,0,0
35,7,False,0,1,1,0
35,8,False,1,3,0,0
35,9,False,0,3,0,0
35,10,False,0,1,1,0
35,11,False,1,3,0,0
35,12,False,0,3,0,0
35,13,False,0,0,0,0
35,14,False,0,1,1,0
35,15,False,1,3,0,0
35,16,True,0,2,4,-1
36,0,False,0,0,0,0
36,1,True,0,2,4,-1
37,0,False,0,3,0,0
37,1,True,0,2,4,-1
38,0,False,0,1,1,0
38,1,False,1,2,5,0
38,2,False,5,0,1,0
38,3,False,1,3,0,0
38,4,False,0,0,0,0
38,5,False,0,0,0,0
38,6,False,0,1,1,0
38,7,False,1,2,5,0
38,8,False,5,2,9,0
38,9,False,9,0,5,0
38,10,False,5,2,9,0
38,11,False,9,0,5,0
38,12,False,5,0,1,0
38,13,False,1,3,0,0
38,14,False,0,0,0,0
38,15,False,0,1,1,0
38,16,False,1,2,5,0
38,17,False,5,0,1,0
38,18,False,1,1,2,0
38,19,True,2,2,6,-1
39,0,True,0,2,4,-1
40,0,False,0,3,0,0
40,1,False,0,0,0,0
40,2,False,0,0,0,0
40,3,True,0,2,4,-1
41,0,False,0,1,1,0
41,1,False,1,0,1,0
41,2,False,1,1,2,0
41,3,False,2,1,3,0
41,4,False,3,3,2,0
41,5,False,2,1,3,0
41,6,False,3,2,7,0
41,7,False,7,0,3,0
41,8,False,3,0,3,0
41,9,True,3,1,4,-1
42,0,False,0,0,0,0
42,1,False,0,0,0,0
42,2,False,0,1,1,0
42,3,False,1,0,1,0
42,4,False,1,3,0,0
42,5,True,0,2,4,-1
43,0,False,0,0,0,0
43,1,True,0,2,4,-1
44,0,True,0,2,4,-1
45,0,False,0,1,1,0
45,1,False,1,0,1,0
45,2,False,1,2,5,0
45,3,True,5,1,6,-1
46,0,False,0,0,0,0
46,1,False,0,3,0,0
46,2,True,0,2,4,-1
47,0,False,0,0,0,0
47,1,True,0,2,4,-1
48,0,False,0,3,0,0
48,1,False,0,0,0,0
48,2,False,0,0,0,0
48,3,True,0,2,4,-1
49,0,True,0,2,4,-1
50,0,False,0,1,1,0
50,1,False,1,1,2,0
50,2,False,2,1,3,0
50,3,True,3,1,4,-1
51,0,False,0,3,0,0
51,1,False,0,0,0,0
51,2,False,0,1,1,0
51,3,False,1,1,2,0
51,4,True,2,2,6,-1
52,0,True,0,2,4,-1
53,0,True,0,2,4,-1
54,0,False,0,0,0,0
54,1,False,0,3,0,0
54,2,True,0,2,4,-1
55,0,True,0,2,4,-1
56,0,True,0,2,4,-1
57,0,True,0,2,4,-1
58,0,False,0,1,1,0
58,1,False,1,0,1,0
58,2,False,1,1,2,0
58,3,False,2,3,1,0
58,4,False,1,1,2,0
58,5,False,2,0,2,0
58,6,False,2,1,3,0
58,7,True,3,1,4,-1
59,0,False,0,1,1,0
59,1,False,1,0,1,0
59,2,False,1,1,2,0
59,3,False,2,0,2,0
59,4,True,2,2,6,-1
60,0,True,0,2,4,-1
61,0,False,0,1,1,0
61,1,False,1,1,2,0
61,2,True,2,2,6,-1
62,0,False,0,3,0,0
62,1,False,0,3,0,0
62,2,True,0,2,4,-1
63,0,False,0,1,1,0
63,1,False,1,3,0,0
63,2,False,0,1,1,0
63,3,False,1,3,0,0
63,4,True,0,2,4,-1
64,0,True,0,2,4,-1
65,0,True,0,2,4,-1
66,0,False,0,3,0,0
66,1,True,0,2,4,-1
67,0,True,0,2,4,-1
68,0,False,0,3,0,0
68,1,True,0,2,4,-1
69,0,True,0,2,4,-1
70,0,False,0,1,1,0
70,1,False,1,0,1,0
70,2,False,1,2,5,0
70,3,False,5,2,9,0
70,4,False,9,0,5,0
70,5,False,5,2,9,0
70,6,False,9,0,5,0
70,7,False,5,2,9,0
70,8,True,9,2,13,-1
71,0,False,0,1,1,0
71,1,False,1,3,0,0
71,2,False,0,1,1,0
71,3,False,1,3,0,0
71,4,False,0,1,1,0
71,5,False,1,2,5,0
71,6,False,5,2,9,0
71,7,False,9,3,8,0
71,8,False,8,1,9,0
71,9,True,9,2,13,-1
72,0,False,0,0,0,0
72,1,True,0,2,4,-1
73,0,False,0,1,1,0
73,1,False,1,2,5,0
73,2,True,5,1,6,-1
74,0,False,0,0,0,0
74,1,True,0,2,4,-1
75,0,False,0,3,0,0
75,1,False,0,0,0,0
75,2,True,0,2,4,-1
76,0,False,0,0,0,0
76,1,False,0,0,0,0
76,2,False,0,3,0,0
76,3,False,0,1,1,0
76,4,False,1,3,0,0
76,5,False,0,0,0,0
76,6,False,0,3,0,0
76,7,True,0,2,4,-1
77,0,True,0,2,4,-1
78,0,False,0,1,1,0
78,1,False,1,0,1,0
78,2,False,1,3,0,0
78,3,False,0,1,1,0
78,4,False,1,2,5,0
78,5,False,5,0,1,0
78,6,False,1,3,0,0
78,7,True,0,2,4,-1
79,0,True,0,2,4,-1
80,0,False,0,3,0,0
80,1,False,0,1,1,0
80,2,False,1,3,0,0
80,3,False,0,1,1,0
80,4,False,1,1,2,0
80,5,False,2,3,1,0
80,6,False,1,3,0,0
80,7,False,0,3,0,0
80,8,False,0,3,0,0
80,9,False,0,3,0,0
80,10,False,0,1,1,0
80,11,False,1,1,2,0
80,12,True,2,2,6,-1
81,0,False,0,1,1,0
81,1,False,1,2,5,0
81,2,True,5,3,4,-1
82,0,False,0,1,1,0
82,1,False,1,0,1,0
82,2,False,1,1,2,0
82,3,False,2,3,1,0
82,4,False,1,2,5,0
82,5,True,5,3,4,-1
83,0,False,0,1,1,0
83,1,False,1,0,1,0
83,2,False,1,3,0,0
83,3,False,0,3,0,0
83,4,True,0,2,4,-1
84,0,False,0,1,1,0
84,1,False,1,0,1,0
84,2,False,1,2,5,0
84,3,True,5,3,4,-1
85,0,False,0,3,0,0
85,1,True,0,2,4,-1
86,0,False,0,1,1,0
86,1,False,1,3,0,0
86,2,False,0,3,0,0
86,3,True,0,2,4,-1
87,0,True,0,2,4,-1
88,0,False,0,1,1,0
88,1,False,1,3,0,0
88,2,False,0,0,0,0
88,3,False,0,3,0,0
88,4,True,0,2,4,-1
89,0,False,0,1,1,0
89,1,False,1,2,5,0
89,2,False,5,2,9,0
89,3,False,9,1,10,0
89,4,True,10,0,6,-1
90,0,False,0,3,0,0
90,1,False,0,0,0,0
90,2,False,0,0,0,0
90,3,False,0,3,0,0
90,4,False,0,3,0,0
90,5,False,0,3,0,0
90,6,True,0,2,4,-1
91,0,False,0,1,1,0
91,1,False,1,2,5,0
91,2,True,5,3,4,-1
92,0,False,0,0,0,0
92,1,True,0,2,4,-1
93,0,True,0,2,4,-1
94,0,False,0,0,0,0
94,1,False,0,3,0,0
94,2,False,0,1,1,0
94,3,False,1,0,1,0
94,4,False,1,0,1,0
94,5,False,1,1,2,0
94,6,False,2,1,3,0
94,7,False,3,0,3,0
94,8,False,3,3,2,0
94,9,False,2,3,1,0
94,10,False,1,3,0,0
94,11,False,0,1,1,0
94,12,False,1,0,1,0
94,13,False,1,1,2,0
94,14,True,2,2,6,-1
95,0,True,0,2,4,-1
96,0,False,0,0,0,0
96,1,False,0,1,1,0
96,2,False,1,0,1,0
96,3,False,1,2,5,0
96,4,False,5,2,9,0
96,5,False,9,0,5,0
96,6,False,5,2,9,0
96,7,False,9,1,10,0
96,8,True,10,1,11,-1
97,0,True,0,2,4,-1
98,0,False,0,1,1,0
98,1,False,1,0,1,0
98,2,False,1,1,2,0
98,3,False,2,0,2,0
98,4,False,2,3,1,0
98,5,False,1,1,2,0
98,6,False,2,3,1,0
98,7,False,1,0,1,0
98,8,False,1,0,1,0
98,9,False,1,2,5,0
98,10,False,5,2,9,0
98,11,False,9,3,8,0
98,12,False,8,3,7,0
98,13,True,7,3,6,-1
99,0,False,0,3,0,0
99,1,False,0,3,0,0
99,2,False,0,1,1,0
99,3,False,1,0,1,0
99,4,False,1,2,5,0
99,5,False,5,2,9,0
99,6,False,9,1,10,0
99,7,True,10,0,6,-1
100,0,False,0,3,0,0
100,1,False,0,3,0,0
100,2,False,0,0,0,0
100,3,False,0,3,0,0
100,4,False,0,0,0,0
100,5,False,0,1,1,0
100,6,False,1,0,1,0
100,7,False,1,2,5,0
100,8,True,5,3,4,-1
101,0,False,0,1,1,0
101,1,False,1,0,1,0
101,2,False,1,0,1,0
101,3,False,1,1,2,0
101,4,False,2,1,3,0
101,5,False,3,0,3,0
101,6,False,3,2,7,0
101,7,True,7,2,11,-1
102,0,False,0,0,0,0
102,1,True,0,2,4,-1
103,0,True,0,2,4,-1
104,0,False,0,1,1,0
104,1,False,1,1,2,0
104,2,True,2,2,6,-1
105,0,False,0,0,0,0
105,1,False,0,1,1,0
105,2,False,1,0,1,0
105,3,False,1,3,0,0
105,4,True,0,2,4,-1
106,0,False,0,1,1,0
106,1,False,1,0,1,0
106,2,False,1,3,0,0
106,3,True,0,2,4,-1
107,0,False,0,0,0,0
107,1,False,0,3,0,0
107,2,True,0,2,4,-1
108,0,False,0,0,0,0
108,1,False,0,0,0,0
108,2,False,0,0,0,0
108,3,False,0,0,0,0
108,4,False,0,0,0,0
108,5,True,0,2,4,-1
109,0,False,0,1,1,0
109,1,False,1,3,0,0
109,2,False,0,3,0,0
109,3,True,0,2,4,-1
110,0,False,0,0,0,0
110,1,False,0,1,1,0
110,2,False,1,1,2,0
110,3,False,2,0,2,0
110,4,False,2,3,1,0
110,5,False,1,0,1,0
110,6,False,1,3,0,0
110,7,False,0,0,0,0
110,8,False,0,0,0,0
110,9,False,0,3,0,0
110,10,True,0,2,4,-1
