game,step,done,state,action,next_state,reward
0,0,False,0,3,0,-1
0,1,False,0,0,0,-1
0,2,False,0,0,0,-1
0,3,False,0,0,0,-1
0,4,False,0,1,1,1
0,5,False,1,3,1,-1
0,6,False,1,2,10,1
0,7,False,10,2,19,1
0,8,False,19,1,20,1
0,9,False,20,1,21,1
0,10,True,21,0,12,-5
1,0,False,0,1,1,1
1,1,False,1,0,1,-4
1,2,False,1,0,1,-1
1,3,False,1,3,0,-1
1,4,False,0,0,0,-1
1,5,False,0,1,1,-1
1,6,False,1,1,2,1
1,7,False,2,0,2,-4
1,8,False,2,0,2,-1
1,9,False,2,0,2,-1
1,10,False,2,2,11,1
1,11,True,11,1,12,-5
2,0,False,0,1,1,1
2,1,False,1,2,10,1
2,2,False,10,3,9,1
2,3,False,9,2,18,1
2,4,False,18,2,27,1
2,5,False,27,1,28,1
2,6,False,28,3,28,-1
2,7,False,28,0,19,1
2,8,False,19,3,18,-1
2,9,False,18,0,9,-1
2,10,False,9,1,10,-1
2,11,False,10,1,11,1
2,12,False,11,2,20,1
2,13,False,20,1,21,1
2,14,True,21,2,30,-5
3,0,False,0,1,1,1
3,1,False,1,1,2,1
3,2,False,2,0,2,-4
3,3,False,2,3,1,-1
3,4,False,1,0,1,-1
3,5,False,1,3,0,-1
3,6,False,0,1,0,-1
3,7,False,0,2,9,1
3,8,False,9,3,9,-4
3,9,False,9,3,9,-1
3,10,False,9,3,9,-1
3,11,False,9,0,0,-1
3,12,False,0,0,0,-1
3,13,False,0,2,9,-1
3,14,False,9,3,9,-1
3,15,False,9,1,10,1
3,16,False,10,0,1,-1
3,17,False,1,0,1,-1
3,18,False,1,3,0,-1
3,19,False,0,3,0,-1
3,20,False,0,1,1,-1
3,21,False,1,2,10,-1
3,22,False,10,2,19,1
3,23,False,19,1,20,1
3,24,False,20,2,29,1
3,25,False,29,2,38,1
3,26,False,38,3,37,1
3,27,False,37,2,46,1
3,28,True,46,2,55,-5
4,0,False,0,0,0,-1
4,1,False,0,0,0,-1
4,2,False,0,1,1,1
4,3,False,1,2,10,1
4,4,False,10,1,11,1
4,5,True,11,1,12,-5
5,0,False,0,0,0,-1
5,1,False,0,2,9,1
5,2,False,9,2,18,1
5,3,False,18,2,27,1
5,4,False,27,3,27,-4
5,5,False,27,1,28,1
5,6,False,28,0,19,1
5,7,False,19,3,18,-1
5,8,False,18,1,18,-1
5,9,False,18,2,27,-1
5,10,False,27,0,27,-1
5,11,False,27,0,18,-1
5,12,False,18,3,18,-1
5,13,False,18,0,9,-1
5,14,False,9,0,0,-1
5,15,False,0,3,0,-1
5,16,False,0,3,0,-1
5,17,False,0,3,0,-1
5,18,False,0,2,9,-1
5,19,False,9,1,10,1
5,20,False,10,2,19,-1
5,21,False,19,1,20,1
5,22,False,20,0,11,1
5,23,False,11,2,11,-1
5,24,False,11,0,2,1
5,25,False,2,2,2,-1
5,26,False,2,0,2,-1
5,27,False,2,0,2,-1
5,28,False,2,1,3,1
5,29,False,3,0,3,-4
5,30,False,3,0,3,-1
5,31,False,3,0,3,-1
5,32,False,3,1,4,1
5,33,False,4,2,13,1
5,34,False,13,1,14,1
5,35,False,14,2,23,1
5,36,False,23,3,22,1
5,37,False,22,2,31,1
5,38,False,31,0,31,-1
5,39,False,31,1,32,1
5,40,False,32,0,23,-1
5,41,False,23,0,14,-1
5,42,False,14,2,14,-1
5,43,False,14,3,13,-1
5,44,False,13,2,22,-1
5,45,False,22,3,21,1
5,46,True,21,0,12,-5
6,0,False,0,1,1,1
6,1,False,1,2,10,1
6,2,False,10,2,19,1
6,3,False,19,2,28,1
6,4,False,28,3,27,1
6,5,False,27,3,27,-4
6,6,False,27,1,28,-1
6,7,False,28,2,37,1
6,8,True,37,3,36,-5
7,0,False,0,0,0,-1
7,1,False,0,3,0,-1
7,2,False,0,3,0,-1
7,3,False,0,1,1,1
7,4,False,1,0,1,-4
7,5,False,1,0,1,-1
7,6,False,1,3,0,-1
7,7,False,0,1,0,-1
7,8,False,0,1,1,-1
7,9,False,1,1,2,1
7,10,False,2,0,2,-4
7,11,False,2,0,2,-1
7,12,False,2,1,3,1
7,13,False,3,3,3,-1
7,14,True,3,2,12,-5
8,0,False,0,3,0,-1
8,1,False,0,1,1,1
8,2,False,1,2,10,1
8,3,False,10,3,9,1
8,4,False,9,2,18,1
8,5,False,18,3,18,-4
8,6,False,18,3,18,-1
8,7,False,18,3,18,-1
8,8,False,18,2,27,1
8,9,True,27,2,36,-5
9,0,False,0,3,0,-1
9,1,False,0,2,9,1
9,2,False,9,3,9,-4
9,3,False,9,1,10,1
9,4,False,10,2,19,1
9,5,False,19,0,19,-1
9,6,False,19,2,28,1
9,7,False,28,0,28,-1
9,8,False,28,3,27,1
9,9,False,27,3,27,-4
9,10,False,27,1,28,-1
9,11,False,28,3,28,-1
9,12,False,28,1,29,1
9,13,False,29,2,38,1
9,14,False,38,2,47,1
9,15,False,47,2,56,1
9,16,True,56,3,55,-5
10,0,False,0,0,0,-1
10,1,False,0,3,0,-1
10,2,False,0,1,1,1
10,3,False,1,3,1,-1
10,4,False,1,3,0,-1
10,5,False,0,3,0,-1
10,6,False,0,0,0,-1
10,7,False,0,0,0,-1
10,8,False,0,3,0,-1
10,9,False,0,2,9,1
10,10,False,9,3,9,-4
10,11,False,9,3,9,-1
10,12,False,9,0,0,-1
10,13,False,0,0,0,-1
10,14,False,0,3,0,-1
10,15,False,0,2,9,-1
10,16,False,9,0,9,-1
10,17,False,9,1,10,1
10,18,False,10,0,1,-1
10,19,False,1,3,0,-1
10,20,False,0,0,0,-1
10,21,False,0,0,0,-1
10,22,False,0,0,0,-1
10,23,False,0,3,0,-1
10,24,False,0,0,0,-1
10,25,False,0,0,0,-1
10,26,False,0,0,0,-1
10,27,False,0,1,1,-1
10,28,False,1,0,1,-1
10,29,False,1,2,10,-1
10,30,False,10,0,10,-1
10,31,False,10,3,9,-1
10,32,False,9,0,0,-1
10,33,False,0,0,0,-1
10,34,False,0,0,0,-1
10,35,False,0,1,1,-1
10,36,False,1,3,1,-1
10,37,False,1,2,10,-1
10,38,False,10,1,11,1
10,39,True,11,1,12,-5
11,0,False,0,3,0,-1
11,1,False,0,1,1,1
11,2,False,1,1,2,1
11,3,False,2,1,3,1
11,4,False,3,0,3,-4
11,5,False,3,3,2,-1
11,6,False,2,0,2,-1
11,7,False,2,2,11,1
11,8,False,11,3,10,1
11,9,False,10,2,19,1
11,10,False,19,2,28,1
11,11,False,28,3,27,1
11,12,True,27,2,36,-5
12,0,False,0,2,9,1
12,1,False,9,3,9,-4
12,2,False,9,1,10,1
12,3,False,10,3,10,-1
12,4,False,10,3,9,-1
12,5,False,9,3,9,-1
12,6,False,9,0,0,-1
12,7,False,0,3,0,-1
12,8,False,0,2,9,-1
12,9,False,9,1,10,-1
12,10,False,10,2,19,1
12,11,False,19,2,28,1
12,12,False,28,2,37,1
12,13,False,37,0,37,-1
12,14,False,37,0,28,-1
12,15,False,28,3,27,1
12,16,False,27,1,27,-1
12,17,False,27,0,18,1
12,18,False,18,2,18,-1
12,19,False,18,0,9,-1
12,20,False,9,2,9,-1
12,21,False,9,3,9,-1
12,22,False,9,3,9,-1
12,23,False,9,2,18,-1
12,24,False,18,3,18,-1
12,25,False,18,0,9,-1
12,26,False,9,3,9,-1
12,27,False,9,2,18,-1
12,28,False,18,1,19,-1
12,29,False,19,1,20,1
12,30,False,20,2,29,1
12,31,False,29,0,29,-1
12,32,True,29,1,30,-5
13,0,False,0,0,0,-1
13,1,False,0,0,0,-1
13,2,False,0,0,0,-1
13,3,False,0,0,0,-1
13,4,False,0,3,0,-1
13,5,False,0,0,0,-1
13,6,False,0,0,0,-1
13,7,False,0,2,9,1
13,8,False,9,0,9,-1
13,9,False,9,3,9,-1
13,10,False,9,2,18,1
13,11,False,18,1,19,1
13,12,False,19,1,20,1
13,13,False,20,1,21,1
13,14,False,21,1,22,1
13,15,False,22,2,31,1
13,16,False,31,1,32,1
13,17,False,32,2,41,1
13,18,False,41,1,42,1
13,19,False,42,3,42,-1
13,20,True,42,0,33,-5
14,0,False,0,0,0,-1
14,1,False,0,0,0,-1
14,2,False,0,1,1,1
14,3,False,1,2,10,1
14,4,False,10,2,19,1
14,5,False,19,0,19,-1
14,6,False,19,0,10,-1
14,7,False,10,0,1,-1
14,8,False,1,1,2,1
14,9,False,2,1,3,1
14,10,False,3,1,4,1
14,11,False,4,2,13,1
14,12,True,13,3,12,-5
15,0,False,0,2,9,1
15,1,False,9,0,9,-1
15,2,False,9,0,0,-1
15,3,False,0,2,0,-1
15,4,False,0,0,0,-1
15,5,False,0,0,0,-1
15,6,False,0,1,1,1
15,7,False,1,0,1,-4
15,8,False,1,2,10,1
15,9,False,10,2,19,1
15,10,False,19,2,28,1
15,11,False,28,2,37,1
15,12,True,37,3,36,-5
16,0,False,0,0,0,-1
16,1,False,0,1,1,1
16,2,False,1,2,10,1
16,3,False,10,2,19,1
16,4,False,19,0,19,-1
16,5,False,19,3,18,1
16,6,False,18,0,9,1
16,7,False,9,1,10,-1
16,8,False,10,1,11,1
16,9,False,11,0,2,1
16,10,False,2,3,1,-1
16,11,False,1,2,10,-1
16,12,False,10,1,11,-1
16,13,False,11,0,2,-1
16,14,False,2,0,2,-1
16,15,False,2,2,11,-1
16,16,False,11,2,20,1
16,17,False,20,1,21,1
16,18,False,21,1,22,1
16,19,False,22,1,23,1
16,20,False,23,3,23,-1
16,21,False,23,3,22,-1
16,22,False,22,3,21,-1
16,23,True,21,0,12,-5
17,0,False,0,1,1,1
17,1,False,1,0,1,-4
17,2,False,1,2,10,1
17,3,False,10,2,19,1
17,4,False,19,1,20,1
17,5,False,20,3,20,-1
17,6,False,20,0,11,1
17,7,False,11,2,11,-1
17,8,False,11,2,20,-1
17,9,False,20,2,29,1
17,10,False,29,3,28,1
17,11,False,28,3,27,1
17,12,False,27,0,18,1
17,13,False,18,2,18,-1
17,14,False,18,3,18,-1
17,15,False,18,1,19,-1
17,16,False,19,0,10,-1
17,17,False,10,2,10,-1
17,18,False,10,1,11,-1
17,19,False,11,0,2,1
17,20,False,2,0,2,-4
17,21,False,2,2,11,-1
17,22,False,11,3,10,-1
17,23,False,10,0,1,-1
17,24,False,1,0,1,-1
17,25,False,1,3,0,-1
17,26,False,0,0,0,-1
17,27,False,0,2,9,1
17,28,False,9,3,9,-4
17,29,False,9,3,9,-1
17,30,False,9,3,9,-1
17,31,False,9,0,0,-1
17,32,False,0,0,0,-1
17,33,False,0,3,0,-1
17,34,False,0,1,1,-1
17,35,False,1,2,10,-1
17,36,False,10,0,10,-1
17,37,False,10,0,1,-1
17,38,False,1,3,0,-1
17,39,False,0,0,0,-1
17,40,False,0,1,1,-1
17,41,False,1,1,2,-1
17,42,False,2,1,3,1
17,43,True,3,2,12,-5
18,0,False,0,1,1,1
18,1,False,1,0,1,-4
18,2,False,1,2,10,1
18,3,False,10,2,19,1
18,4,False,19,1,20,1
18,5,False,20,3,20,-1
18,6,False,20,2,29,1
18,7,False,29,3,28,1
18,8,False,28,1,28,-1
18,9,False,28,1,29,-1
18,10,True,29,1,30,-5
19,0,False,0,3,0,-1
19,1,False,0,3,0,-1
19,2,False,0,3,0,-1
19,3,False,0,3,0,-1
19,4,False,0,1,1,1
19,5,False,1,0,1,-4
19,6,False,1,0,1,-1
19,7,False,1,2,10,1
19,8,False,10,3,9,1
19,9,False,9,2,18,1
19,10,False,18,0,18,-1
19,11,False,18,3,18,-1
19,12,False,18,3,18,-1
19,13,False,18,3,18,-1
19,14,False,18,1,19,1
19,15,False,19,1,20,1
19,16,False,20,1,21,1
19,17,False,21,3,21,-1
19,18,True,21,2,30,-5
20,0,False,0,2,9,1
20,1,False,9,1,10,1
20,2,False,10,2,19,1
20,3,False,19,0,19,-1
20,4,False,19,3,18,1
20,5,False,18,1,18,-1
20,6,False,18,2,27,1
20,7,False,27,0,27,-1
20,8,False,27,1,28,1
20,9,False,28,3,28,-1
20,10,False,28,2,37,1
20,11,False,37,1,38,1
20,12,False,38,0,29,1
20,13,False,29,3,28,-1
20,14,False,28,3,27,-1
20,15,False,27,1,27,-1
20,16,False,27,1,28,-1
20,17,False,28,2,37,-1
20,18,False,37,1,38,-1
20,19,False,38,3,38,-1
20,20,False,38,2,47,1
20,21,True,47,1,48,-5
21,0,False,0,0,0,-1
21,1,False,0,3,0,-1
21,2,False,0,0,0,-1
21,3,False,0,3,0,-1
21,4,False,0,1,1,1
21,5,False,1,3,1,-1
21,6,False,1,2,10,1
21,7,False,10,0,10,-1
21,8,False,10,0,1,-1
21,9,False,1,2,1,-1
21,10,False,1,2,10,-1
